Date,Month,Year,Title,Content,Link
2,4,2012,An all too familiar first,"Even the unprecedented can be unsurprising. For the first time, the Election Commission of India has been forced to countermand an election to the Rajya Sabha: in Jharkhand, following “incidents of horse-trading” and attempts to influence the electors — Members of the Legislative Assembly — by offering cash for votes. Until now, the bribing of electors has never been a visible factor in elections to the Upper House of Parliament, unlike in Lok Sabha or Assembly elections, where the poll process is routinely suspended as candidates come up with different ways of luring or pressuring voters. However, the seizure of Rs.2.15 crore in cash from a car belonging to the brother of an independent candidate in the Rajya Sabha election from Jharkhand could not have come as a total shocker. The surprise, actually, was in the seizure, not in the attempt to bribe. When the candidates are few and the electorate is small, as is always the case in Rajya Sabha elections, malpractices normally escape public attention. Jharkhand certainly was not the first instance of moneybags seeking easy entry into the Rajya Sabha. Industrialists and businessmen have always found a way to enter the Upper House. The preferred mode of operation, however, is striking a deal with top party leaders, not individual MLAs. In recent times, several industrialists or their representatives and lobbyists have entered the Rajya Sabha through this door with little or no affiliation to the party that supported them. Once elected, these MPs are under no obligation to their electors, and further their own personal or business agenda in Parliament.
The Jharkhand case, however, has its peculiarities. Two seats were at stake in the Rajya Sabha election, but no party was in a position to win even one without the help of others. With five candidates, including two independents, in the fray, the field was wide open for a dark horse. The Bharatiya Janata Party at first announced its support for a Non-Resident Indian businessman, but backtracked following criticism. It later talked of abstaining from the vote, but finally announced support for its ally, the Jharkhand Mukti Morcha. In such circumstances, the two independents, both with considerable financial clout, must have fancied their chances, and lobbied hard with the MLAs. The EC did the right thing in countermanding the election after the cash seizure as the situation was getting murkier by the hour. But unless it is able to prove wrongdoing by some of the candidates, and then disqualify them, the same set of circumstances will be repeated when the elections are held again.",https://www.thehindu.com/opinion/editorial/an-all-too-familiar-first/article3269583.ece
2,4,2012,Licensed to kill,"That tobacco products are singularly responsible for a large number of cancer deaths in adults has once again become strikingly clear. According to a paper published recently in The Lancet, in India, tobacco-related cancers were found in 2010 to be responsible for some 1,20,000 deaths — 84,000 in men, and 36,000 in women — among adults aged 30 to 69. That tobacco-related cancers constitute about 30 per cent of the total mortality (3,95,000) from all cancers in the same age group is proof of the lethal effects of tobacco products. Oral cancer was found to cause more than twice as many deaths as lung cancers. The reasons are not difficult to find. According to the 2009-2010 global adult tobacco survey, 170 million Indians chewed tobacco, and 120 million smoked. While a majority of rural women chewed tobacco, many men in urban and rural areas chose to chew and smoke. Tobacco that remains in close contact with the sensitive mucous membrane of the oral cavity for extended periods is a potent and lethal carcinogen. What makes tobacco use all the more dangerous is that besides causing organ-specific cancers, it increases the risk of death from other medical causes. In urban areas, smoking-related deaths are more from heart attacks, while tuberculosis and respiratory diseases are the main causes in the rural areas. With smoking accounting for five per cent deaths among women and 20 per cent among men, a 2008 study published in the New England Journal of Medicine estimated about one million deaths in 2010 in the 30 to 69 age group.
Evidence from elsewhere paints an equally compelling picture. We know from a study that the mortality rate from lung cancer in 2009 in the American State of Utah was nearly 75 per cent lower than Kentucky. The reason: the prevalence of smoking in Utah was 10 per cent compared with 25 per cent in Kentucky. The single-minded pursuit of governments around the world should, therefore, be to reduce tobacco consumption through all means. The most effective way is to ramp up taxes. France has shown the way by tripling taxes between 1990 and 2005 and halving consumption. Using powerful pictorial warnings, as in many other countries, rather than the currently used ineffectual ones, and rotating them every year instead of once in two years, is yet another means. Maximum gain can be achieved by resorting to both these measures simultaneously. The government showed great eagerness to introduce into the national immunisation programme the human papillomavirus (HPV) vaccine to prevent cervical cancer, the most common cancer among women in 2010. Sadly, it seems to lack the gumption to clamp down on killer tobacco products. Will the latest research results stir it into action?",https://www.thehindu.com/opinion/editorial/licensed-to-kill/article3269584.ece
3,4,2012,A scandal and a cover-up,"If the viewing of pornography by three prominent Bharatiya Janata Party Ministers during a session of the Karnataka Legislative Assembly on February 7 was not scandal enough, the report of the committee set up to investigate the incident is a disgraceful cover-up. Following public outrage at TV footage of the three poring over obscene videos during a discussion on drought, the Ministers resigned from the Cabinet and were suspended from the House. The House committee set up by the Speaker — and boycotted by a dissatisfied Opposition — placed its report before the Assembly on March 30, the last day of the budget session. The report is a model of obfuscation and disingenuous reasoning that unquestioningly accepts the weak clarifications made by the three BJP leaders, while overlooking the compelling evidence of the original videographic material. C.C. Patil, then Minister for Women and Child Welfare, known for his public admonishments of women who are sartorially “indecent,” claimed he was in discussion with Laxman Savadi on a district matter, when he saw the latter holding a mobile handset. Like a responsible legislator, he took the device from him and switched it off. The Committee has recommended his exoneration. Krishna Palemar claimed to have “accidentally” brought his mobile to the House and placed it on his desk. Mr. Savadi could therefore not have been using Mr. Palemar's mobile phone, the Committee reasoned, and recommended Mr. Palemar's exoneration too.
Mr. Savadi's dissembling was hard to endorse, even by a committee willing to be persuaded. While some obscene images could have popped up while browsing, he was actually concentrating on reading a government order, he explained. The committee accepted this, and concluded he did not watch the images “deliberately.” However, as he had “whole-heartedly” apologised, and promised not to carry his mobile to the House again, the committee recommended that he be let off with an admonishment. Having let off the errant Ministers, the Committee then trained its guns on the messenger. The TV channels that captured the sordid episode were upbraided for recording “other things” rather than the House proceedings. A channel that ran “separately and repeatedly” the original images downloaded from the internet was criticised. The telecast of the damning visuals violated the dignity of the Assembly, the committee concluded, and recommended that only government broadcasters be allowed to record House proceedings. For the scam-and-faction-riven BJP government, this sorry fig leaf to cover up yet another scandal will only deepen the existential crisis it is already so deeply mired in.",https://www.thehindu.com/opinion/editorial/a-scandal-and-a-coverup/article3273968.ece
3,4,2012,For equality all the way,"The Marriage Laws (Amendment) Bill, 2010, redrafted on the basis of the recommendations of a parliamentary standing committee, has been cleared by the Union Cabinet. Its highlight, no doubt, is the provision to include “irretrievable breakdown” as a ground for the grant of divorce. This conforms to recommendations made repeatedly by the Law Commission of India and the higher judiciary to enable couples to end already extinguished relationships without further fuss and bad blood, in no-fault mode. A new provision to give adopted children of divorced couples rights on a par with biological offspring is also a step in the right direction. However, the provision to allow a woman a share in her husband's property, in itself a progressive step in line with international trends, does not go far enough. The share a woman is entitled to from her husband's property acquired during the period of the marriage is to be decided by the court on a case-by-case basis, also taking into account the woman's financial state. There are too many caveats here, and leaving the question to judicial discretion and interpretation will only add to acrimony over property. Instead, clear procedures need to be set down to make the process less potentially arbitrary and painful. As it is envisaged, the provision is unlikely to prove an effective legal mechanism for a fair and equitable division of property.
Coincidentally, in February, the Planning Commission's Working Group on Women's Agency and Empowerment proposed a Right to Marital Property Act. That right aims to give separated or divorced women an equal share in property, with the onus of proving a husband's income resting on him rather than on the wife — as is the case in the current scheme of things. In Maharashtra, meanwhile, a Married Women (Property Co-ownership) Equality Bill is being discussed actively. It is meant to ensure equal rights for women in their husband's acquired property, especially in cases of divorce. Goa already has such a law, put in place by the erstwhile Portuguese rulers: when a couple in Goa divorces, half of the husband's property goes to the wife, without any questions asked. Indeed, much of the world has what is called the community property law, a regime that is based on the principle that property acquired after marriage and before actual separation (but for gifts or inheritance) is owned jointly by both spouses and is divided upon divorce, annulment or death. Such joint ownership recognises the theoretically equal contributions of both spouses in the making and the functioning of a family entity. There is one question that, however, remains to be debated further. Should the regime not be made gender-neutral, cutting both ways?",https://www.thehindu.com/opinion/editorial/for-equality-all-the-way/article3273970.ece
4,4,2012,Don't miss this opportunity,"If Asif Ali Zardari's visit this Sunday — the first by a democratic leader of Pakistan since Zulfikar Ali Bhutto travelled to Simla in 1972 — is an indication of the opportunities that lie ahead on the bilateral front, the $10 million price placed by the U.S. on Lashkar-e-Taiba chief Hafiz Saeed's head is a reminder of the enormous challenges still remaining. For New Delhi, wisdom lies in not allowing national exultation over the American bounty to colour its expectations of this private — but significant — presidential visit. Hafiz Saeed is as much an enemy of India as he is of democracy in Pakistan and there is little point in reminding Mr. Zardari of his powerlessness in the face of the Lashkar chief's uniformed patrons. Despite the evident tension which exists between the civilian, judicial and military elements that make up the Pakistani state, there is no denying the new ease in relations with India. The dialogue which was suspended after the Mumbai attacks of 2008 has resumed and is producing results. Domestic detractors accuse the Pakistan People's Party government of all manner of sins, including that of being too “pro-India,” but that hasn't stopped it from taking the bold step of freeing bilateral trade from the Kashmir issue. And now, Mr. Zardari has decided to visit India, a risky step for any Pakistani civilian leader, but particularly so for one as unpopular as him.
The last time he met Manmohan Singh was in the Russian city of Yekaterinburg in June 2009, where the Prime Minister publicly talked down to him about the Mumbai incident. The two are unlikely to reminisce about that encounter. More likely, Mr. Zardari will reiterate a long standing invitation to Dr. Singh to visit Pakistan. He must make that visit soon. The Prime Minister should also spare a thought for an 81-year-old Pakistani man languishing in Ajmer jail after being sentenced to life imprisonment in a 1992 murder case. Khalil Chisty maintains he was a bystander in the group clash in which one man died of gunshot injuries. The Rajasthan High Court suspended the sentences of three others who were convicted with him. Only Dr. Chisty's appeal for suspension was turned down. The judge said “no leniency” should be shown as he was a Pakistani and that an example should be made of him. As Mr. Zardari undertakes a pilgrimage to Ajmer Sharif, the ailing doctor's imprisonment in the city will be an embarrassing display of the Indian system at its most inhumane. Dr. Singh, whose government recently made a huge effort to bring back two Indian children sent into foster care by the Norwegian state, must immediately take steps to release Dr. Chisty and send him home.",https://www.thehindu.com/opinion/editorial/dont-miss-this-opportunity/article3277994.ece
4,4,2012,Free medicines as a mission,"The Centre's move to introduce an experimental universal health package in at least one district per State under the National Rural Health Mission, with access to free generic drugs, is a welcome measure. But the larger mission to provide free essential medicines to all citizens need not await the results of such pilot studies. It should be rolled out for poor and non-poor alike quickly. There is no time to be lost because medicines make up an alarming 71 per cent of all out-of-pocket spending on health. The time for experimental schemes is therefore long past. What is more, efficient models of drug procurement and distribution by State governments involving low costs and improved access are readily available. Tamil Nadu is a leading example, having demonstrated this over the last 15 years. Kerala has replicated it and some other States are in the process of doing so. Clearly, it is feasible to provide carefully chosen essential drugs free, with higher government spending. Some reform is of course needed, and it should include an expanded National Essential Drug List, elimination of irrational drugs from prescriptions, priority for generic medicines and, crucially, a good centralised procurement system. The issues involved have been analysed by the High Level Expert Group (HLEG) of the Planning Commission on Universal Health Coverage.
A quarter century of National Sample Survey data from households on availability of free medicines to patients reveals depressing trends. From about 32 per cent of drugs supplied free to in-patients in1986-87, the figure fell to 9 per cent in 2004. Data on free drug supply for all patients indicate weak controls and escalating price pressure from the mid-1990s. This has severely affected affordability and thus access. It is here that the role of government assumes importance. The Tamil Nadu Medical Services Corporation has been able to deliver results because State-level procurement has ensured competitive pricing and control over prescription of irrational medicines. Such a system works better because it meets the key principle of efficient financing, which is pre-payment. Obviously, half-measures will only slow the process down and give room for manoeuvring by special interests. The HLEG has provided two scenarios for partial and full drug security that can be achieved in the dramatic time-frame of two and seven years. Scaling up government spending from about 0.1 per cent of GDP at present to 0.5 per cent is essential to achieving this outcome. The Centre must show the political will necessary.",https://www.thehindu.com/opinion/editorial/free-medicines-as-a-mission/article3277995.ece
5,4,2012,Misplaced fears,"The Indian Express's exposé of Raisina Hill getting “spooked” by the supposedly unexplained movement of two army units earlier this year has generated such a furious debate that it is best to get two toxic notions out of the way right at the start. The government may or may not have panicked but there was, in fact, nothing unusual or suspicious about the movement of two Indian army units towards Delhi on January 16. Second, the Indian Express is entirely within its rights to write about a sensitive matter like this, even if its treatment was overblown. Just as it is unfair for anyone to cast aspersions on the Indian Army, it is unfair to question the motives of the journalists who wrote the story. That two units comprising roughly a thousand men — hardly a number that should spook anyone — embarked on a training op on the same day Army Chief General V.K. Singh went to the Supreme Court over his age issue was obviously a coincidence. But it is possible that some officials in the Ministry of Home Affairs, the PMO and the Ministry of Defence completely misread this as an attempt to mobilise uniformed opinion in favour of the Chief's claim. If they did, this is unfortunate. What remains indisputable from the facts presented by the newspaper and by other information in the public domain is that the civilian and military establishments in India are not communicating properly and have become distrustful of each other.
Prime Minister Manmohan Singh has described the news report as “alarmist” and it is hard to disagree with his assessment. The bureaucratic and intelligence establishment was wary of General Singh but the worst it feared were speeches, not a display of public disaffection, let alone a mutiny or, most far-fetched of all, an attempt at a coup by a handful of soldiers! Any government that gets “spooked” by troop movements does not wait for the Defence Secretary to return hurriedly from Malaysia to seek an explanation from the Army about what is going on. That is why the suggestion that the government was in a state of absolute panic was something of an exaggeration. “Nobody is using the ‘C' word to imply anything other than ‘curious'. All else is considered an impossibility,” the Indian Express wrote. If this is so, then why was the report, which consumed the entire front page and was accompanied by a sensational headline, so overplayed? In doing so, it has run the risk of being read for innuendos and insinuations rather than for the facts — which is exactly what has transpired given the reaction to the story. The controversy over General Singh's age, which seems to have morphed into unrelated disputes about bribery and leaks of sensitive documents, has strengthened the impression that civil-military relations are inflamed. It is important to lower the temperature at this moment, not fan the flames.",https://www.thehindu.com/opinion/editorial/misplaced-fears/article3281517.ece
5,4,2012,Menace of twin deficits,"It is generally well known that India is one of the few countries with both a current account deficit and a fiscal deficit. However, the extent of deterioration in both is a matter of deep concern. According to the Reserve Bank of India's recent data on balance of payments (BOP), the current account deficit (CAD) rose to 4.3 per cent of the GDP during the third quarter (October-December 2011) of last year, sharply higher than the 2.3 per cent during the same period in the previous year. The sharp spike might have come as a surprise, but there was enough evidence of the deteriorating trend. Indeed, the Prime Minister's Economic Advisory Council which projected the CAD to be around 3.6 per cent by March 31, is just one of the many official forecasters which had anticipated a deterioration in the current account of the BOP. There is an expectation that a jump in the earnings from invisibles during the last quarter would help in moderating the CAD. Even so, its “comfort” levels — variously estimated at between 2.5 and 3 per cent — appear to be as elusive as ever. More ominously, during the third quarter, for the first time since 2008-09, capital inflows were not sufficient to bridge the current account deficit necessitating a drawdown of foreign exchange reserves by nearly $13 billion.
India's fiscal deficit projections have gone haywire with the government revising last year's budget estimate to 5.9 per cent from 4.6. The recent budget hopes to bring it down to 5.1 per cent by March 2013, a level which is still considered very high. The co-existence of a large fiscal deficit with the CAD has invited comparisons with the period preceding the 1991 crisis, when the twin-deficits apparently presaged bad times ahead. Such comparisons can be very superficial however. By any yardstick, the Indian economy is in a much better shape today. However it is good to realise that the co-existence of the two deficits has made the economy more vulnerable to external shocks. For instance, high petroleum prices have inflated the import bill and contributed to merchandise trade deficit besides straining the fiscal situation. Policymakers face quite a challenge in minimising the deleterious consequences of the twin deficits. The RBI might be reluctant to cut interest rates if it is not satisfied with the progress of fiscal consolidation. As recent data indicate, foreign capital flows might be even less forthcoming, given the twin-deficits. All these, in turn, will have wide ranging implications for the macro economy, including exchange rate policy.",https://www.thehindu.com/opinion/editorial/menace-of-twin-deficits/article3281518.ece
6,4,2012,Don't lose the plot now,"The continuing efforts to criminalise protests against the Kudankulam Nuclear Power Project and portray all opposition to nuclear energy as anti-national must be unequivocally condemned. For over seven months, a popular protest, with wide public participation, went on in the vicinity of Kudankulam without a single incident of violence. An indefinite fast against the Tamil Nadu government's decision to facilitate the commissioning of the plant has now been given up, but low-key protests continue. The government has managed to get the project going again after months of inactivity. Yet, the State has shown no compunction in invoking drastic legal provisions — such as those relating to waging war against the government, and sedition — against key participants in the agitation. The police in Tamil Nadu are preparing formally to lay serious charges against those perceived to have “instigated” the anti-nuclear agitation; the only concession they seem to make to the rights guaranteed by the Constitution of India is to promise that those who ‘innocently' participated in the protests will not be prosecuted. Regardless of one's opinion about the desirability of nuclear power, the imputation that organising protests against a nuclear plant amounts to waging war on the State or promoting disaffection against the government has no place in a democracy.
Non-governmental organisations linked to the protesters are facing a probe about whether foreign contributions meant for charity were diverted to fund the agitation. This may be explained as a legitimate exercise by the Union Home Ministry, which regulates the Foreign Contribution Regulation Act. However, the spate of arrests by the State police and the plan to prosecute protesters under extraordinary provisions of the law give the impression of a witch hunt. Also disturbing is the tendency to seek to demonstrate that ‘extremists' or ‘Maoists' have infiltrated the protests. A government that went out of the way to ensure peace during the prolonged agitation and which gave a necessary pause to the project until its full implications were explained to the public should not lose the plot now and waste its energies on pursuing the prosecution of protesters, be they the ones derisively dubbed “professional agitators” or those supposedly duped into participating in agitations. The larger issue of keeping the people on board always and allaying fears about safety is a long-term obligation that the Central and State governments cannot evade. Nothing can be more perverse than pursuing punitive measures used by colonial rulers in the pre-Independence era to repress democratic protests against the decisions and policies of elected governments.",https://www.thehindu.com/opinion/editorial/dont-lose-the-plot-now/article3284757.ece
6,4,2012,Call of the Deep,"After stirring the imagination of people by bringing them up close with the Titanic on the silver screen, legendary film director James Cameron recently pulled off another spectacular achievement that will go a long way in igniting public interest in deep-sea exploration. By plunging nearly 11 km down to the Challenger Deep located in the Mariana Trench in the western Pacific Ocean — where a structure as tall as Mount Everest would be more than 2 km below the sea level — Cameron became the first man to reach the deepest depths of the ocean all alone. After spending nearly two-and-half hours to descend in his “Deepsea Challenger” submersible, he stayed at the Challenger Deep for nearly three hours to collect samples and capture on film the life and terrain of one of the world's most harsh and inhospitable regions. Though the Swiss oceanographer, Jacques Piccard, and Don Walsh, a lieutenant with the U.S. Navy, were the first to reach the dark abyss in 1960 in their bathyscaphe “Trieste,” Cameron's journey has captured the world's imagination like never before. His timing has been perfect as our ability to build advanced submersibles equipped with a slew of sophisticated instruments for carrying out various scientific studies has improved vastly since the first journey.
With the team planning to undertake three or more dives in the coming weeks to understand more about life on the rocky sides of the Trench, excitement and awareness is bound to increase. The Challenger Deep has already been explored in 1998 by “Kaiko,” a remote-controlled vehicle, and “Nereus,” a robot submersible in 2009. But these missions and their findings have gone largely unnoticed compared with Cameron's. It is beyond doubt that our understanding of many aspects of the deep ocean bottom is at best sketchy, and many times outright wrong. The spotting of snailfish at a depth of nearly 7 kms in different trenches flies in the face of conventional thinking that the deepest parts of the ocean are bereft of animal life. In fact, many unique marine organisms have been identified at depths greater than 6 km. For instance, free-falling landers that reached Sirena Deep, at a depth of 10.6 km last year, recorded the presence of xenophyophores, which are single-celled animals about 10 cm in size. Since they play host to a variety of organisms, their presence in the Mariana Trench is particularly significant. While each place has its own collection of unique species, their presence certainly strengthens the notion of deep ocean floors teeming with life. The need for a re-evaluation of the ocean floor ecosystem has therefore become inevitable. Cameron's expedition has set the grand stage for this.
Note
A correction has been made in this Editorial to fix an erroneous reference to dinosaurs in the print edition.",https://www.thehindu.com/opinion/editorial/call-of-the-deep/article3284758.ece
