Date,Month,Year,Title,Content,Link
1,12,2015,Towards peace in the House,"Prime Minister Narendra Modi’s >confabulations last Friday with Congress leaders Sonia Gandhi and Manmohan Singh on the long-pending >Goods and Services Tax (GST) Bill, a few hours after he >struck an unusually conciliatory note on the floor of Parliament, signalled a dramatic change of style. Gone was the air of aggression, the taunting tone, and the reminder that his party, the Bharatiya Janata Party, >had won an election last year . Mr. Modi’s new mild manner seemed to be an acknowledgement that a majority in the Lok Sabha is not enough, and he needs to build a consensus to give his government’s legislative agenda a chance. A year and a half after he came to power, the Prime Minister has begun to realise that no matter how handsome a mandate the electorate might have given the BJP-led National Democratic Alliance, barring the budget — that can get by with support only from the Lok Sabha — all other laws need the backing of both Houses. >Recent setbacks in the Assembly elections have also dimmed the chances of the NDA significantly increasing its numbers in the Rajya Sabha. The government needs to negotiate with the Opposition to get its bills passed. Else, the government risks attracting the phrase ‘policy paralysis’ in its second year, and thereby parallels with the Congress-led United Progressive Alliance in its eighth. The parallel has cautionary value: once UPA-2 lost the lines of communication with the Opposition, it lost control of its political narrative.
After his Lok Sabha triumph, Mr. Modi had shown disdain for Parliament and the parliamentary process, barely attending the House and refusing to answer tough questions on the floor of the House, when sought. Citing rules, he refused to concede to the Congress the position of Leader of the Opposition in the Lok Sabha, even as he kept his engagement with the Opposition to the minimum. Indeed, he sought to implement at the Centre a model that had seen him virtually bypassing the Gujarat State Assembly in the years that he was Chief Minister: a look at the records show the Assembly, as in most other States, barely functioned; and whatever legislation had to be passed was done with minimal debate. That is clearly not possible in Delhi, where the levels of scrutiny — and resistance — are much higher. More important, a Central government must reckon with the Rajya Sabha, and courtesies need to be extended in one House to be reciprocated in the other. Now, with the economic reforms stuck, and the electorate having spoken twice this year overwhelmingly against the BJP, first in Delhi and more recently in Bihar, the Prime Minister appears to have finally read the writing on the wall. Mr. Modi made a good beginning on Friday, but he needs to continue in the same way, engaging the Opposition even as he sends out a message of inclusion, tolerance and plurality by checking the hotheads in his party, if he wishes to make a success of the rest of his tenure.",https://www.thehindu.com/opinion/editorial/towards-peace-in-the-house/article7933711.ece
1,12,2015,End the stand-off,"The >brief detention of 13 Indian border guards by the Nepali police on Sunday is yet another example of the deteriorating relations between the two countries. Nepali authorities of the Armed Police Force (APF) say India’s Sashastra Seema Bal (SSB) guards illegally crossed the border with weapons, while Indian officials say the guards had inadvertently stepped into the neighbouring territory while chasing “smugglers”. The crux of the situation is, the differences between India and Nepal that have led to a >two-month blockade at the border are now having a direct impact on the close cooperation and trust that the SSB and APF soldiers have shared for decades, and this marks a dangerous turn. It will require urgent discussions at every level of the military and civilian leadership on both sides to now bring this situation to a resolution, clear the protestors to the largest extent possible on the Nepali side, and clear the backlog of trucks that have been piling up on the Indian side since September 23 so ordinary Nepalis can receive much-needed fuel, food, medicines and other essential supplies. While some trucks have been released in the past few weeks, they are by no means enough, and all of Kathmandu now sees long serpentine queues for every commodity. Regardless of relations at present, it is unacceptable for India to stand by, especially as the days and nights grow colder, without moving in to help Nepal. Unicef, the United Nations Children's Fund, has warned that more than three million children under the age of five in Nepal now face the risk of death or disease in winter.
This will by no means be easy. The government of Prime Minister K.P. Oli could start simply by pushing through the amendments that his predecessor, Sushil Koirala, had cleared in the Cabinet. The government had also started talks with Madhesi leaders to reach a consensus on constitutional amendments that would bring the country back to normalcy. But talks collapsed last month, following which the government started police action against the protesters, which actually made matters worse. Prime Minister Oli’s obsession with blaming India for all problems Nepal is facing serves as an excuse for his government’s inability to find a solution. India too must face the fact that all its attempts at intervention in the Constitution process have come a cropper. It is time for diplomacy rather than a dogmatic stance, as bad relations with Nepal will begin to seep into every sphere of bilateral ties, as they have already begun to taint the relations between the border security forces. Eventually, whatever the resolution, India can only deal with the government in Nepal; it cannot engage any of the political groups there directly. Nor is it fighting a popularity contest inside Nepal. A stable, peaceful democratic Nepal is in India’s best interests. For this to be realised, both nations should first give up the confrontationist approach, and work together to resolve the impasse over the Constitution in Nepal.",https://www.thehindu.com/opinion/editorial/end-the-standoff/article7933712.ece
2,12,2015,No diplomacy by stealth,"The >Paris handshake between Pakistan Prime Minister Nawaz Sharif and Prime Minister Narendra Modi is indeed a welcome, and unexpected, moment that could ‘change the climate’ of the relationship. They had >last spoken in Ufa in July — though they shared the same stage at the UN in September, they only managed a wave across the room. This is far from the vision that Mr. Modi had himself laid out at the start of his tenure, one where neighbours would try to meet without occasion, and engage to sort out bilateral issues, when possible. The stop-start nature of the Prime Ministers’ meetings have had an impact on talks at every level of engagement, and even the meeting of the Directors General of Military Operations they agreed to five months ago has not yet materialised. Other issues on which a resolution is required remain, and which have now been pending for three years. These include the implementation of a liberalised visa regime, upgradation of trade checkpoint infrastructure at the international border and the Line of Control, and other measures such as bank facilities to further trade that Prime Minister Modi and Prime Minister Sharif have spoken of. India’s concerns about Pakistan giving free rein to terrorists like Hafiz Saeed and establishment support to terror groups, too, remain. While Delhi has stuck to its principle of not taking substantive talks ahead until it sees action from Pakistan on terrorism, it is heartening to note that basic trade between the two countries, business visits and civil society conferences have not been barred. The Prime Ministers met in Paris even as the government must make a decision on whether to allow their cricket teams to play in Sri Lanka. It must be remembered, that like the other issues, playing cricket too is a commitment already made by Indian officials, and India stands to be penalised if it does not keep the BCCI’s contract with the Pakistan Cricket Board.
All these steps will be particularly important in creating an atmosphere for a productive visit by Mr. Modi to Islamabad in 2016, when he has accepted an invitation to attend the SAARC summit. However, none of it will be possible without a sustained and transparent process of engagement. Since this government took office, India’s Pakistan policy has been marked by stealth, surprise and secrecy — whether it was the invitation to SAARC leaders, the cancellation of Foreign Secretary-level talks, the confabulations between the Prime Ministers in Kathmandu last November, dispatching the Foreign Secretary to Islamabad this year, the Ufa engagement, or everything else that followed. It is time to unveil what the government plans to do on Pakistan. If non-engagement was an option, the Prime Ministers would not have shaken hands or talked confidentially in Paris. If engagement is the only way forward — as it most certainly is — then it must be done by taking the people into confidence, not by keeping them in the dark about each new initiative, that seems to evaporate as soon as it is brought to light.",https://www.thehindu.com/opinion/editorial/no-diplomacy-by-stealth/article7937726.ece
2,12,2015,Time to abolish criminal defamation,"The >observation by the Supreme Court that political leaders should not take criticism as a personal insult highlights a particular kind of intolerance that is rarely referred to in the ongoing debate on the subject: the inability of public figures to tolerate criticism and their repeated resort to criminal defamation proceedings to stifle adverse comment. Nothing exemplifies this as much as the 100-odd prosecutions launched by the government of Tamil Nadu against politicians and the media. The court’s remark came in the context of several of cases of defamation reaching its portals in recent years. Under Chief Minister Jayalalithaa, the law of criminal defamation is routinely set in motion within days of the publication of reports that are even remotely critical of her governance. It is always initiated by the public prosecutors on behalf of the Chief Minister and members of her Cabinet. It is needless to emphasise that criminal defamation has a chilling effect on free speech and undermines public interest by coercing the media to observe self-censorship and self-restraint. Sections 499 and 500 of the Indian Penal Code, which criminalise defamation in India, have been challenged in the Supreme Court, but so far there is little hope that the State will give up the use of this weapon against adverse coverage. It also showed questionable zeal in >going up to the highest court just to obtain the police custody of Kovan, a folk singer >arrested on ‘sedition’ charge, indicating a dangerously illiberal attitude. The Union government has contended, much to the disappointment of proponents of the freedom of expression, that these sections do not have any chilling effect on free speech.
Democratic opinion in many countries is veering around to the view that defamation should be treated as a civil wrong and should not be pursued as a criminal case, and that the state has no compelling interest to protect the reputation of its individual servants by prosecuting alleged offenders. In 2011, the Human Rights Committee of the International Covenant on Civil and Political Rights called upon states to abolish criminal defamation, noting that it intimidates citizens and makes them shy away from exposing wrongdoing. Its misuse as an instrument of harassment is pervasive in India. Often, the prosecutor’s complaint is taken at face value by courts, which send out routine notices for the appearance of defendants without any preliminary examination whether the offending comments or reports come under one of the exceptions spelt out in Section 499. Thus, the process itself becomes the punishment. It is internationally recognised that there ought to be some proportionality between the status and influence of public officials and how far they could be defamed. The higher the officials are the greater will be their resources to set right any impairment of their image, using their wide reach and influence over the public. It is time India’s lawmakers scrapped criminal defamation from the statute book.",https://www.thehindu.com/opinion/editorial/time-to-abolish-criminal-defamation/article7937728.ece
3,12,2015,Dark clouds & a silver lining,"Making extensive preparations for rare, extreme situations is neither easy nor economical. Both the Tamil Nadu administration and the residents of Chennai and its neighbouring districts were not ready for the relentless spells of rain after the >North-East monsoon set in , flooding homes and offices, roads and malls. Ordinarily, the worry for Chennai is a weak monsoon with deficit rainfall that leaves little water for drinking purposes and irrigation. But, over the last 30 days, the government and the people were dealing with the ill-effects of an unusually active monsoon that seemed intent on overcompensating for the deficit years with >record rainfall . Even as the city returned to some sort of normalcy after one torrential downpour, it had to contend with >another spell of rain . Displacement, traffic jams, power cuts, rising prices, and scarcity of food, the woes just would not end for the people of Chennai. The situation was especially bad for those in the relatively new residential areas in the suburbs where, in recent years, real estate growth was given priority over planned development. Also, more than the amount of rainfall, Chennai was hit badly by the overflow of water from reservoirs and breaches in lakes and tanks, and the flooding of water channels that were already choked with silt and refuse. With an unprecedented discharge of water, Chennai’s rivers have shown no respect for the bridges and the roads, effectively cutting off people and places on one bank with the people and places on the other bank. With bus and suburban railway services becoming inoperable, Chennai had to rely heavily on the >new Metro line and the Mass Rapid Transit System.
But the rains were not all about doom and gloom. The government did remarkably well in rescue and relief efforts, quickly requisitioning the >deployment of the armed forces to evacuate people in flooded areas and engaging in elaborate rehabilitation work. In the end, even Opposition leaders readily praised the relief measures taken up in challenging circumstances. The distress brought about by the rain also revealed the >remarkable strength and character of the people in the city and the affected districts, with NGOs supplementing the efforts of the government, and public- spirited individuals taking up relief work, spending time and resources in reaching out to those left stranded. The Hindu is privileged to be a part of these efforts. Social networks were full of messages offering help or information on where help would be available. Malls and private schools and colleges too opened their doors to the flood victims. A radio taxi service provider, under criticism for failing to arrange cabs, >offered free boat services . Clearly, the civic solidarity was in evidence everywhere, with volunteers helping to ferry the aged and the sick, and distribute food packets and warm clothes. Without a doubt, this has been the silver lining in the dark clouds over Chennai over the last few weeks. The lessons learnt during this extended disaster should result in a hard look at existing policies on urban planning, and a short-term revamp of the inadequacies in the civic infrastructure of urban areas.",https://www.thehindu.com/opinion/editorial/Dark-clouds-amp-a-silver-lining/article10030130.ece
3,12,2015,On hold and accommodative,"The central message of Reserve Bank of India Governor Raghuram Rajan’s > latest decision to leave interest rates unchanged, and stress that the monetary stance remains “accommodative”, is that neither an economic recovery nor inflation trends are entrenched enough at the moment for more decisive action. That the signs are far from reassuring on both the key fronts that inform the central bank’s policy rationale is abundantly evident from the data on hand. External demand continues to remain weak — with global growth and trade becalmed by an anaemic Euro area, a slowing China and a U.S. economy coping with an accumulation of inventory, year-low consumer confidence and a strengthening dollar. On the domestic front, while early results from the RBI’s survey of order books, inventories and capacity utilisation point to an uptick in new manufacturing orders in the second quarter, other indicators, especially from the sizeable rural economy, are far from reassuring. Consumption demand in the villages and smaller towns in agrarian heartlands has been weakened by two consecutive deficient monsoons, and the overall outlook for agricultural growth, as a result of deficient rains, appears at best moderate. The latest Nikkei’s Manufacturing Purchasing Managers’ Index, compiled by Markit, independently buttresses the central bank’s concern over the sustainability of the recovery as it shows demand and output continued to soften in November to damp manufacturing growth to the slowest pace in 25 months.
Data on the prices front is equally unnerving. Retail inflation as measured by the consumer price index accelerated for the third successive month in October, pushed up by a sharp increase in food costs. Initial indications of rabi sowing, coupled with low reservoir levels, also squarely lay the onus on astute supply management by the government to help minimise any shortfall in winter crop output and the resultant risk to prices. And taking a benign oil price environment for granted, given the potential for geopolitical shocks from the volatile Middle East, has its own inherent hazards. More significantly, the RBI has for the moment opted to trust the government’s commitment to its fiscal consolidation goals in its calculus of the inflationary impact of the > Seventh Pay Commission’s proposals . Voluntary budgetary restraint, the central bank believes, will offset the impact on aggregate demand from higher wages and rents. That this assumption is only partly predicated on good faith is evident in the comment in the policy statement that the implementation of the pay panel’s recommendations will “be a factor in the Reserve Bank’s future deliberations”. Dr. Rajan has his task cut out as he focusses on unclogging the monetary transmission pipeline at banks. With only about half of the 125 basis points cut in the policy rate > conveyed to borrowers, the RBI is racing to ensure that a clean-up of lenders’ balance sheets can help free up funds toward productive credit flows. For now though, it will be a vigilant watch at the RBI.",https://www.thehindu.com/opinion/editorial/on-hold-and-accommodative/article7941931.ece
4,12,2015,Ending politics of remission,"The >verdict of a Constitution Bench of the Supreme Court on legal questions relating to grant of remission to life convicts exposes the haste with which the Tamil Nadu government acted in February 2014 in >seeking to release the seven persons serving life terms for plotting to assassinate Rajiv Gandhi in 1991. The court’s finding that the Central government has primacy in according remission to life convicts in a case of this nature is a political setback to Chief Minister Jayalalithaa. It was apparent that she wanted to be seen as a champion of Tamil rights rather than the stern opponent of terrorism that she was believed to be. In token compliance with a statutory requirement, she wrote to the Centre, giving just three days’ time for its opinion on their release. Alarmed by the thought of Rajiv Gandhi’s killers being freed, the then United Progressive Alliance government rushed to the Supreme Court to stall the process. Thus, the humanitarian question whether convicts who had only been accessories in the LTTE’s assassination plot should languish in prison even after 23 years was converted into a political issue. It became embroiled in technical questions that were referred to a Constitution Bench. The validity of the Tamil Nadu government’s decision will be decided separately by a regular bench.
However, the larger significance here is that the court has barred State governments from invoking their statutory remission power for the premature release of those sentenced by a High Court or the Supreme Court to a specified term above 14 years without remission. It has rejected the theory that every convict, even those facing life-long incarceration, will have to be offered a ‘ray of hope’, placing the interests of the victims of murder above those of the perpetrators. It indicates that those whose death sentences are altered to life terms will have to spend the rest of their life in prison. At the same time, it has kept a small door open for life convicts by declaring that one who had got the benefit of commutation of death sentence to life is not barred from getting remission from the executive. In any case, it has said the constitutional powers of the President and the Governor for grant of clemency remain untouched. The State government will now have to get the concurrence of the Centre in cases investigated by Central agencies before it can use its power of remission to release convicts. Also, the sentences they are undergoing must be for crimes relating to subjects falling under the Union government’s executive powers. The court rejected the idea that a State government can remit prison terms on its own without following the prescribed procedure. A lesson to be drawn from this episode is that the release of prisoners ought to be dealt with on merits on a case-by-case basis by following statutory procedures and not through whimsical or partisan acts of political misadventure.",https://www.thehindu.com/opinion/editorial/ending-politics-of-remission/article7945711.ece
4,12,2015,Myanmar’s best hope,"Aung San Suu Kyi’s >meetings with Myanmar’s President Thein Sein and military chief General Min Aung Hlaing, nearly a month after her party’s resounding election win, are highly significant, given the tumultuous civil-military relations in the Southeast Asian nation. Ms. Suu Kyi had reportedly asked for these meetings immediately after the polls. But the delay had triggered some concerns over whether the still-powerful military would accept the election result and let her National League for Democracy form the next government, which is expected to assume office on March 31. A presidential spokesperson later allayed the concerns, saying both leaders had discussed a “smooth transition and transfer of power to the newly elected government”. While the military-backed government’s reassurance that it is committed to political transition is welcome, the process of transition and building a constitutional framework for the new government could turn out to be a cumbersome process. That is mainly because the military is unlikely to be willing to cede full control to the civilian government. The military-written Constitution bars Ms. Suu Kyi from becoming the President because her children are not Burmese, and it reserves key Ministries, including defence, interior and border security, for the military. Gen. Aung Hlaing has already said there would not be any change in the Constitution to let Ms. Suu Kyi become the President. She has, on the other hand, vowed to lead the government “whether or not” she is the President.
Ms. Suu Kyi is the best hope Myanmar has at this point of time. She is a stout democrat and widely popular, and her party has a legitimate mandate to lead the country, which faces several problems from poverty to ethnic conflict. One of the reasons the military agreed to a transition to a more democratic set-up was the realisation that it could not rule the country with an iron fist forever. Despite years of suppression, the political opposition has been resolute. Besides, the internal dynamics of the Myanmar society remain fragile. The Rohingya community, Muslims castigated as illegal immigrants, have been widely discriminated against by sections of the Buddhist majority. The government’s efforts to end the civil war with ethnic groups through negotiated agreements were only partially successful as rebels in the region bordering China refused to sign ceasefire pacts in October. The country also faces a huge economic challenge. What Myanmar needs now is a leader who can unify the people and take the country to a new era of social and political democracy. A large number of people inside and outside the country believe that, under the circumstances Ms. Suu Kyi may be the best person to take up the challenge. But the question is whether the generals would let her do it. For her part, Ms. Suu Kyi needs to be more forthright in articulating an inclusive agenda, for example vis-à-vis the Rohingya, that addresses ethnic tensions, and gives democracy in Myanmar a stronger chance.",https://www.thehindu.com/opinion/editorial/myanmars-best-hope/article7945712.ece
5,12,2015,Funding holds the key at Paris,"As the third largest emitter of greenhouse gases among individual countries, India is >under pressure at the Paris Climate Change conference to commit itself to a future trajectory of low emissions. All countries with a significant role in the accumulation of atmospheric carbon dioxide, which leads to global warming, have made voluntary pledges that are aimed at the stabilisation of global temperature rise below 2° Celsius. India’s own >Intended Nationally Determined Contributions (INDCs) promise to reduce the emissions intensity of its GDP by 33 to 35 per cent by 2030, over 2005 levels. A base agreement of this coalition of the willing is now possible at the UN Framework Convention on Climate Change conference, but problems lie ahead. Among the contentious issues is monitoring and verification of performance, which would inevitably be linked to grant of funding that is vital to help affected communities adapt to the impact of climate change. The colossal losses arising from the Chennai deluge underscore the importance of access to funds for adaptation. On the other hand, a five-year monitoring period from 2020, when the pledges go into effect, would ratchet up the pressure tremendously. With such high stakes, it is vital that India continues its strong cooperation with the G77+China bloc, which has been >aggressively pursuing the principles of equity and differentiated responsibilities, and simultaneously engage the developed world as the negotiations move into the high-level segment next week.
The dichotomy of ambitions on halting dangerous climate change has been evident at Paris, with the most vulnerable island states and the least developed countries expecting rising targets for emissions cuts to keep global temperature rise below 1.5° C, and liberal funding from rich nations. But even with sincere implementation of the 157 INDC submissions from 184 countries (including the European Union member-states) which cover about 94 per cent of carbon emissions, the global temperature is expected to rise beyond the target. India also has to contend with the growing movement to persuade investors to withdraw from companies using polluting fossil fuels including coal, and tax these fuels at higher rates to consumers. Moreover, although it has the largest emissions, China has won plaudits with its pledge to peak coal use in 2020, and all greenhouse gases by 2030, something that India cannot. For developing countries in Paris, however, the real challenge is to enshrine in the agreement strong provisions for funding that have been promised but not delivered in the past. Many of them have submitted their INDCs with funding as a condition, and India has estimated a staggering $2.5 trillion as its climate finance requirement until 2030. By contrast, the total cross-border flows of funds is calculated to be $2.2 billion. It will take a great deal of diplomacy and commitment to bridge the gulf in Paris.",https://www.thehindu.com/opinion/editorial/funding-holds-the-key-at-paris/article7949572.ece
5,12,2015,Fighting IS with air strikes alone,"With British jets >having started bombing Islamic State locations in Syria, four of the five permanent members of the United Nations Security Council have formally joined the war against the jihadist group. The United States, France and Russia are already in the fray. But despite persistent bombing by these countries over the past few months, IS still holds on to the territories it controls. Will Britain joining the war change the script? Prime Minister David Cameron himself warned against quick expectations. He said it’s a “complex” war and that the country has to be “patient and persistent”. But the real problem that the war against IS faces is not the campaign being less persistent; it’s that there is no coordinated strategy among the nations fighting the jihadists. Syria’s skies are already crowded. The downing of the Russian aircraft by Turkey over the Syrian border last month exposed the faultlines of the anti-IS war. Countries involved in the war are also competitors for geopolitical gains and they have divergent views towards the future of Syria. For example, the Americans want Syrian President Bashar al-Assad to go, while the Russians are the main backers of the regime, saying the only sustainable alternative to IS is restoring the Syrian statehood.
Does Prime Minister Cameron have a strategy to address these complexities? Or is his only plan, as that of his allies in the West, to target the group from the air? He did not lay down a comprehensive strategy in the British Parliament while seeking the support of Members of Parliament for the air strikes. His claim that there are 70,000 rebels ready to fight IS on the ground is far from convincing. Who are these rebels? Syrian rebel groups are hardly united, and in tough battles in the past they fled, leaving the territories and the weapons they got from Mr. Assad’s enemies to the hands of IS. Those who faced down IS on the ground were the Kurds. But Turkey, a member of the North Atlantic Treaty Organisation (NATO) that is formally part of the U.S.-led coalition against IS, is bombing the Kurdish rebels on the Syrian border. Besides, how will Mr. Cameron’s government respond to allegations that Turkey was complicit with IS by facilitating the group’s trade in oil? The ground situation is so complicated that it is irrational to believe that sending a few more bomber jets into the Syrian skies would weaken IS. Of course, the war against IS needs air cover. But it should be in a supplementary role. The main fight has to take place on the ground and for that, the coalition needs coordination among the forces fighting IS, including the Syrian and Iraqi national army. Without such a coordinated strategy, air strikes would only play into the hands of the jihadists.",https://www.thehindu.com/opinion/editorial/fighting-is-with-air-strikes-alone/article7949573.ece
